iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.285164142696603,1.626291604603038,0.44025735294117646,46.658690452575684,False,1,d060c173,2023-06-06_15-14-11,1686064451,46.658690452575684,30769,8fa062c8815e,172.17.0.3,46.658690452575684,1
1,1.151298567218688,0.9751371916602639,0.7022058823529411,45.323405265808105,False,2,d060c173,2023-06-06_15-14-57,1686064497,91.98209571838379,30769,8fa062c8815e,172.17.0.3,91.98209571838379,2
2,0.5283225072385038,0.5508881145540405,0.859375,46.32298398017883,False,3,d060c173,2023-06-06_15-15-43,1686064543,138.30507969856262,30769,8fa062c8815e,172.17.0.3,138.30507969856262,3
3,0.2799059363461814,0.5372672032784013,0.8708639705882353,46.10629606246948,False,4,d060c173,2023-06-06_15-16-29,1686064589,184.4113757610321,30769,8fa062c8815e,172.17.0.3,184.4113757610321,4
4,0.1849627014321899,0.3403097879798973,0.9094669117647058,45.611302614212036,False,5,d060c173,2023-06-06_15-17-15,1686064635,230.02267837524414,30769,8fa062c8815e,172.17.0.3,230.02267837524414,5
