iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.2872091520179825,1.6224155618863947,0.4499080882352941,54.4091477394104,False,1,029c5af4,2023-06-06_11-21-56,1686050516,54.4091477394104,14382,8fa062c8815e,172.17.0.3,54.4091477394104,1
0,2.1327225409665154,1.4777118405875038,0.4885110294117647,55.61953091621399,False,1,029c5af4,2023-06-06_11-25-31,1686050731,110.02867865562439,14375,8fa062c8815e,172.17.0.3,55.61953091621399,1
1,0.8967490034195983,0.6653643425773171,0.7941176470588235,52.42475390434265,False,2,029c5af4,2023-06-06_11-26-23,1686050783,162.45343255996704,14375,8fa062c8815e,172.17.0.3,108.04428482055664,2
2,0.38123753428169826,0.4095191970905837,0.8791360294117647,37.431243658065796,False,3,029c5af4,2023-06-06_11-27-01,1686050821,199.88467621803284,14375,8fa062c8815e,172.17.0.3,145.47552847862244,3
