iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.8894773374483425,2.8613643225501564,0.09283088235294118,20.276631355285645,False,1,f9055b12,2023-06-06_11-22-57,1686050577,20.276631355285645,14393,8fa062c8815e,172.17.0.3,20.276631355285645,1
1,2.45772713596381,2.2381763212821064,0.2601102941176471,16.900330305099487,False,2,f9055b12,2023-06-06_11-23-14,1686050594,37.17696166038513,14393,8fa062c8815e,172.17.0.3,37.17696166038513,2
2,2.031821631690831,1.9503514714100783,0.3400735294117647,18.60400414466858,False,3,f9055b12,2023-06-06_11-23-33,1686050613,55.78096580505371,14393,8fa062c8815e,172.17.0.3,55.78096580505371,3
3,1.7346289539800106,1.6842162731815786,0.4181985294117647,19.208627462387085,False,4,f9055b12,2023-06-06_11-23-52,1686050632,74.9895932674408,14393,8fa062c8815e,172.17.0.3,74.9895932674408,4
4,1.4009022631691497,1.4012432624312008,0.5652573529411765,19.445433855056763,False,5,f9055b12,2023-06-06_11-24-11,1686050651,94.43502712249756,14393,8fa062c8815e,172.17.0.3,94.43502712249756,5
