iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.2662757010135834,1.3806844984783846,0.5808823529411765,47.37879014015198,False,1,92eb3444,2023-06-06_15-13-57,1686064437,47.37879014015198,30776,8fa062c8815e,172.17.0.3,47.37879014015198,1
1,0.7430670694674103,1.1457089803674643,0.7339154411764706,47.939305543899536,False,2,92eb3444,2023-06-06_15-14-45,1686064485,95.31809568405151,30776,8fa062c8815e,172.17.0.3,95.31809568405151,2
2,0.26576760883253175,0.46636266962570305,0.8768382352941176,46.43833088874817,False,3,92eb3444,2023-06-06_15-15-31,1686064531,141.75642657279968,30776,8fa062c8815e,172.17.0.3,141.75642657279968,3
3,0.16130372014764732,0.30582154087503166,0.9177389705882353,47.215327739715576,False,4,92eb3444,2023-06-06_15-16-18,1686064578,188.97175431251526,30776,8fa062c8815e,172.17.0.3,188.97175431251526,4
4,0.091739959228169,0.2731502376332441,0.9310661764705882,48.978243350982666,False,5,92eb3444,2023-06-06_15-17-07,1686064627,237.94999766349792,30776,8fa062c8815e,172.17.0.3,237.94999766349792,5
