iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5642486932208235,1.8531884498455946,0.3322610294117647,61.57089114189148,False,1,cc561eb4,2023-06-06_15-19-26,1686064766,61.57089114189148,30629,8fa062c8815e,172.17.0.3,61.57089114189148,1
1,1.0503972103294816,0.6242062839515069,0.8065257352941176,48.75944471359253,False,2,cc561eb4,2023-06-06_15-20-14,1686064814,110.33033585548401,30629,8fa062c8815e,172.17.0.3,110.33033585548401,2
2,0.3712875451711775,0.3369033066008021,0.8952205882352942,38.675193071365356,False,3,cc561eb4,2023-06-06_15-20-53,1686064853,149.00552892684937,30629,8fa062c8815e,172.17.0.3,149.00552892684937,3
3,0.18750081824373852,0.2568980268038371,0.9214154411764706,39.68367314338684,False,4,cc561eb4,2023-06-06_15-21-33,1686064893,188.6892020702362,30629,8fa062c8815e,172.17.0.3,188.6892020702362,4
4,0.10800113186276364,0.2546880056752878,0.9338235294117647,32.63169050216675,True,5,cc561eb4,2023-06-06_15-22-05,1686064925,221.32089257240295,30629,8fa062c8815e,172.17.0.3,221.32089257240295,5
