iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.25965190049514,1.5537241223980398,0.49816176470588236,51.836150884628296,False,1,6da4295b,2023-06-06_15-18-57,1686064737,51.836150884628296,30778,8fa062c8815e,172.17.0.3,51.836150884628296,1
1,0.8586976239548146,0.5764042715377667,0.8566176470588235,44.38979959487915,False,2,6da4295b,2023-06-06_15-19-42,1686064782,96.22595047950745,30778,8fa062c8815e,172.17.0.3,96.22595047950745,2
2,0.30800359102996805,0.4426416137858349,0.8892463235294118,35.41622591018677,False,3,6da4295b,2023-06-06_15-20-17,1686064817,131.6421763896942,30778,8fa062c8815e,172.17.0.3,131.6421763896942,3
3,0.17035917103182055,0.37889415650245023,0.8970588235294118,29.166067123413086,False,4,6da4295b,2023-06-06_15-20-46,1686064846,160.8082435131073,30778,8fa062c8815e,172.17.0.3,160.8082435131073,4
4,0.09759646126982367,0.3705925679053454,0.9071691176470589,33.96808075904846,False,5,6da4295b,2023-06-06_15-21-20,1686064880,194.77632427215576,30778,8fa062c8815e,172.17.0.3,194.77632427215576,5
