iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.1729228884271046,1.3298014007947023,0.5560661764705882,56.294697523117065,False,1,06801376,2023-06-06_15-14-17,1686064457,56.294697523117065,30780,8fa062c8815e,172.17.0.3,56.294697523117065,1
1,0.8040180497088478,0.619636071517187,0.8069852941176471,55.71176838874817,False,2,06801376,2023-06-06_15-15-13,1686064513,112.00646591186523,30780,8fa062c8815e,172.17.0.3,112.00646591186523,2
2,0.3253894994776804,0.5000834545011029,0.8483455882352942,56.32726311683655,False,3,06801376,2023-06-06_15-16-09,1686064569,168.33372902870178,30780,8fa062c8815e,172.17.0.3,168.33372902870178,3
3,0.1701013486904716,0.28019954844870987,0.9214154411764706,55.154250144958496,False,4,06801376,2023-06-06_15-17-05,1686064625,223.48797917366028,30780,8fa062c8815e,172.17.0.3,223.48797917366028,4
4,0.1061081163567102,0.22976022326003978,0.9338235294117647,61.694212436676025,False,5,06801376,2023-06-06_15-18-06,1686064686,285.1821916103363,30780,8fa062c8815e,172.17.0.3,285.1821916103363,5
0,2.1684449743298653,1.3981930657344706,0.5569852941176471,48.49805784225464,False,1,06801376,2023-06-06_15-22-59,1686064979,333.68024945259094,29628,8fa062c8815e,172.17.0.3,48.49805784225464,1
1,0.775691316255088,0.7099729811444002,0.7950367647058824,3318.894277572632,False,2,06801376,2023-06-06_16-18-18,1686068298,3652.574527025223,29628,8fa062c8815e,172.17.0.3,3367.3923354148865,2
2,0.319709445376998,0.429257788859746,0.8938419117647058,41.39106512069702,False,3,06801376,2023-06-06_16-19-00,1686068340,3693.96559214592,29628,8fa062c8815e,172.17.0.3,3408.7834005355835,3
3,0.20820210532294314,0.3978645758812918,0.9140625,41.56294012069702,False,4,06801376,2023-06-06_16-19-41,1686068381,3735.528532266617,29628,8fa062c8815e,172.17.0.3,3450.3463406562805,4
4,0.13458420816374925,0.452612041221822,0.8800551470588235,40.41412663459778,False,5,06801376,2023-06-06_16-20-22,1686068422,3775.9426589012146,29628,8fa062c8815e,172.17.0.3,3490.7604672908783,5
5,0.10793318627944705,0.266254241906983,0.9370404411764706,37.539421796798706,False,6,06801376,2023-06-06_16-20-59,1686068459,3813.4820806980133,29628,8fa062c8815e,172.17.0.3,3528.299889087677,6
6,0.058048667942255154,0.22913756455048262,0.9466911764705882,35.85694766044617,False,7,06801376,2023-06-06_16-21-35,1686068495,3849.3390283584595,29628,8fa062c8815e,172.17.0.3,3564.156836748123,7
7,0.055226239760053676,0.22744183162199882,0.9494485294117647,33.032984495162964,False,8,06801376,2023-06-06_16-22-08,1686068528,3882.3720128536224,29628,8fa062c8815e,172.17.0.3,3597.189821243286,8
8,0.058472646481710154,0.23255038701052613,0.9434742647058824,34.93225169181824,False,9,06801376,2023-06-06_16-22-43,1686068563,3917.3042645454407,29628,8fa062c8815e,172.17.0.3,3632.1220729351044,9
9,0.035825907412093606,0.22077567871276507,0.9512867647058824,35.62296009063721,False,10,06801376,2023-06-06_16-23-19,1686068599,3952.927224636078,29628,8fa062c8815e,172.17.0.3,3667.7450330257416,10
10,0.04463102252480294,0.2755953524302801,0.9379595588235294,34.87351131439209,False,11,06801376,2023-06-06_16-23-54,1686068634,3987.80073595047,29628,8fa062c8815e,172.17.0.3,3702.6185443401337,11
11,0.01878932397077945,0.19990607087931814,0.9499080882352942,35.203933238983154,False,12,06801376,2023-06-06_16-24-29,1686068669,4023.004669189453,29628,8fa062c8815e,172.17.0.3,3737.822477579117,12
12,0.01670358876315696,0.23897245452355811,0.9471507352941176,29.079336404800415,False,13,06801376,2023-06-06_16-24-58,1686068698,4052.0840055942535,29628,8fa062c8815e,172.17.0.3,3766.9018139839172,13
13,0.03493487909187572,0.18729670650859856,0.9554227941176471,24.242549657821655,False,14,06801376,2023-06-06_16-25-22,1686068722,4076.326555252075,29628,8fa062c8815e,172.17.0.3,3791.144363641739,14
14,0.03163933836983842,0.23988964164848714,0.9411764705882353,26.787986755371094,True,15,06801376,2023-06-06_16-25-49,1686068749,4103.114542007446,29628,8fa062c8815e,172.17.0.3,3817.93235039711,15
